titulo,autor,tempo_min,score
Crazy Train,Ozzy,4.5,1
We're Not Gonna Take It, Twisted Sister,3.0,1
Detroid Rock City,Kiss,3.5,1
Sure Know something,Kiss,4.0,1
Beds are Burning,Midnight Oil,4.2,1
Summer of 69,Bryan Adams,3.5,1
When you are gone,Bryan Adams,3.2,0
The Best,Tina Turner,4.0,1
Oh no not you again, Australian C.,5.0,1
Into My Life,Colin Hay,4.0,1
Rádio Pirata,RPM,3.5,0
Dá pra mim,Polegar,3.5,1
Maior Abandonado,Barão Vermelho,2.45,1
Tudo pode Mudar,Metrô,3.5,0
Ursinho Blau Blau,Absinto,3.2,1
Amante Profissional,Herva doce,3.0,1
Ciúme,Ultrage à Rigor,4.0,1
The Kids Aren’t Alright, Off Spring,3.0,1
She Sells Sanctuary, The Cult,4.2,1
Your love,Outfield,4.0,1
You give love a bad name,Bon Jovi,4.0,1
Power of Love,Huey Lewis,3.5,1
Hurt so good,John Mellencamp,3.5,0
The Heat is On,Glenn Fey,3.5,0
Material Girl,Madonna,3.5,0
Not Where Fast,J.Steiman Ver 2012,3.0,0
Maria,Blondie,4.15,0
Cachorro Louco, TNT,3.5,1
Não Sei,TNT,3.5,0
Borracho Y Loco,Vera Loca,4.5,0
Easy lover, Phil Collins,4.5,0
Lockout of heaven, Bruno Mars,4.0,0